time,lat,lon,region,season,split,sst_normalized,pc1,pc2
2023-11-24,7.75,55.25,arabian_sea,post_monsoon_SON,val,0.16729619258072637,-0.30797592,-1.3360786
2021-05-13,14.5,87.25,bay_of_bengal,pre_monsoon_MAM,train,1.5804340540831912,2.248426,-1.0507536
2023-08-24,19.75,87.5,bay_of_bengal,summer_monsoon_JJA,val,0.5887836570871371,0.15119404,-0.037864327
2021-05-14,7.25,54.5,arabian_sea,pre_monsoon_MAM,train,0.8385007480207256,0.10994011,-5.045638
2021-03-08,6.5,61.75,arabian_sea,pre_monsoon_MAM,train,0.4429954308624791,4.072887,-2.5000644
2024-10-06,17.0,64.25,arabian_sea,post_monsoon_SON,test,0.27122478197338346,1.1583911,2.522082
2021-05-06,6.25,69.75,arabian_sea,pre_monsoon_MAM,train,1.446192867678918,3.825117,0.47949487
2024-01-25,19.25,62.0,arabian_sea,winter_monsoon_DJF,test,-1.238623977499712,-6.5044394,2.9728646
2021-12-22,5.75,72.0,arabian_sea,winter_monsoon_DJF,train,0.2567902250781507,1.9784647,0.40658706
2021-07-16,7.5,65.5,arabian_sea,summer_monsoon_JJA,train,0.29143327175321865,1.1220721,2.3997662
2023-12-12,16.75,90.0,bay_of_bengal,winter_monsoon_DJF,val,0.02006448313491773,0.61533636,2.5221567
2022-10-08,10.5,74.0,arabian_sea,post_monsoon_SON,train,0.12399279721130148,-0.09395318,0.915907
2021-05-14,14.0,59.0,arabian_sea,pre_monsoon_MAM,train,1.4158805459835753,1.4903138,1.6650646
2023-10-31,7.75,57.75,arabian_sea,post_monsoon_SON,val,0.5267152551590276,1.6790833,0.9520068
2021-12-19,6.5,66.0,arabian_sea,winter_monsoon_DJF,train,0.15574887744406818,1.1422037,0.5393336
2024-02-21,17.75,86.75,bay_of_bengal,winter_monsoon_DJF,test,-0.8402319692154377,-2.6429653,0.47373205
2024-11-23,11.5,82.0,bay_of_bengal,post_monsoon_SON,test,0.3015371036687262,0.7701614,1.843426
2021-06-12,5.75,63.0,arabian_sea,summer_monsoon_JJA,train,0.39680506905075297,1.4847984,1.075473
2024-10-04,19.25,64.0,arabian_sea,post_monsoon_SON,test,0.4444389140836297,0.63176644,3.2910657
2021-06-21,18.5,62.25,arabian_sea,summer_monsoon_JJA,train,-0.0968551799318215,-1.1459286,0.8278888
2022-07-14,5.75,71.75,arabian_sea,summer_monsoon_JJA,train,0.5137241814849455,2.1099262,-0.38270247
2023-02-21,17.75,87.75,bay_of_bengal,winter_monsoon_DJF,val,-0.9484907329552733,-3.5271173,-1.672826
2024-11-25,14.25,69.75,arabian_sea,post_monsoon_SON,test,0.258233432983028,1.838513,3.07551
2021-05-15,13.25,62.0,arabian_sea,pre_monsoon_MAM,train,1.267205353316616,2.315947,1.7104735
2021-10-03,13.75,81.75,bay_of_bengal,post_monsoon_SON,train,0.6292000860142608,3.709937,-4.3519106
2024-05-09,17.75,70.25,arabian_sea,pre_monsoon_MAM,test,1.0680090738582055,2.3741622,0.6784917
2023-06-19,23.75,62.25,arabian_sea,summer_monsoon_JJA,val,1.2484406220742048,0.33231872,-1.6115465
2022-09-15,12.0,89.5,bay_of_bengal,post_monsoon_SON,train,0.4978464166848355,2.5457911,1.4298327
2023-06-16,17.75,61.0,arabian_sea,summer_monsoon_JJA,val,0.769214929986863,1.0956038,-0.69255185
